Keyword,ad_position_average,ad_position_max,ad_position_min,bid,cpc_average,cpc_max,cpc_min,daily_clicks_average,daily_clicks_max,daily_clicks_min,daily_cost_average,daily_cost_max,daily_cost_min,daily_impressions_average,daily_impressions_max,daily_impressions_min,key,language,loc_id,match,source
select,1.06,1.0,1.11,100,0.16,0.18,0.15,0.29,0.32,0.26,0.05,0.05,0.04,6.27,6.9,5.64,select,en,2124,exact,scraped
classification,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,classification,en,2124,exact,scraped
offer,1.06,1.0,1.11,100,0.44,0.49,0.4,0.28,0.31,0.25,0.12,0.14,0.11,7.03,7.73,6.33,offer,en,2124,exact,scraped
prevention,1.06,1.0,1.11,100,0.72,0.79,0.65,0.83,0.92,0.75,0.6,0.66,0.54,27.36,30.1,24.63,prevention,en,2124,exact,scraped
formatted,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,formatted,en,2124,exact,scraped
uploading,1.06,1.0,1.11,100,0.06,0.06,0.05,0.03,0.03,0.03,0.0,0.0,0.0,0.76,0.84,0.68,uploading,en,2124,exact,scraped
capabilities,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,capabilities,en,2124,exact,scraped
measurement,1.06,1.0,1.11,100,0.39,0.42,0.35,0.12,0.13,0.1,0.04,0.05,0.04,3.04,3.34,2.74,measurement,en,2124,exact,scraped
error,1.06,1.0,1.11,100,0.05,0.05,0.04,0.11,0.12,0.1,0.01,0.01,0.0,2.28,2.51,2.05,error,en,2124,exact,scraped
types,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,types,en,2124,exact,scraped
nyc,1.06,1.0,1.11,100,0.9,0.99,0.81,0.12,0.13,0.1,0.1,0.11,0.09,2.28,2.51,2.05,nyc,en,2124,exact,scraped
friends,1.06,1.0,1.11,100,0.77,0.85,0.69,0.04,0.05,0.04,0.03,0.04,0.03,1.52,1.67,1.37,friends,en,2124,exact,scraped
save,1.06,1.0,1.11,100,0.84,0.92,0.75,0.24,0.27,0.22,0.2,0.22,0.18,7.6,8.36,6.84,save,en,2124,exact,scraped
teamed,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,teamed,en,2124,exact,scraped
projects,1.06,1.0,1.11,100,4.15,4.56,3.73,0.09,0.1,0.08,0.39,0.42,0.35,9.69,10.66,8.72,projects,en,2124,exact,scraped
approaching,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,approaching,en,2124,exact,scraped
major,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,major,en,2124,exact,scraped
release,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,release,en,2124,exact,scraped
scoring,1.06,1.0,1.11,100,0.5,0.55,0.45,0.06,0.06,0.05,0.03,0.03,0.03,2.28,2.51,2.05,scoring,en,2124,exact,scraped
interact,1.06,1.0,1.11,100,0.59,0.65,0.53,2.67,2.94,2.4,1.57,1.73,1.42,42.19,46.41,37.97,interact,en,2124,exact,scraped
water,1.06,1.0,1.11,100,2.83,3.12,2.55,3.59,3.94,3.23,10.16,11.17,9.14,502.64,552.9,452.37,water,en,2124,exact,scraped
looked,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,looked,en,2124,exact,scraped
tpu,1.06,1.0,1.11,100,23.77,26.15,21.4,0.08,0.08,0.07,1.78,1.96,1.61,5.32,5.85,4.79,tpu,en,2124,exact,scraped
believes,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,believes,en,2124,exact,scraped
predicts,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,predicts,en,2124,exact,scraped
neural,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neural,en,2124,exact,scraped
step,1.06,1.0,1.11,100,0.4,0.44,0.36,0.37,0.41,0.33,0.15,0.16,0.13,11.97,13.17,10.77,step,en,2124,exact,scraped
continuing,1.06,1.0,1.11,100,0.23,0.25,0.21,0.95,1.05,0.86,0.22,0.24,0.2,21.66,23.83,19.5,continuing,en,2124,exact,scraped
computing,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,computing,en,2124,exact,scraped
unlimited,1.06,1.0,1.11,100,0.22,0.25,0.2,0.09,0.1,0.08,0.02,0.02,0.02,1.52,1.67,1.37,unlimited,en,2124,exact,scraped
translators,1.06,1.0,1.11,100,0.46,0.51,0.42,0.23,0.25,0.2,0.11,0.12,0.09,9.31,10.24,8.38,translators,en,2124,exact,scraped
fairs,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fairs,en,2124,exact,scraped
addressed,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,addressed,en,2124,exact,scraped
subject,1.06,1.0,1.11,100,0.04,0.04,0.04,0.03,0.03,0.02,0.0,0.0,0.0,0.76,0.84,0.68,subject,en,2124,exact,scraped
classifications,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,classifications,en,2124,exact,scraped
included,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,included,en,2124,exact,scraped
calculating,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,calculating,en,2124,exact,scraped
bounding,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bounding,en,2124,exact,scraped
box,1.08,1.0,1.17,100,23.7,26.07,21.33,24.27,26.69,21.84,575.08,632.58,517.57,570.29,627.32,513.26,box,en,2124,exact,scraped
poster,1.06,1.0,1.11,100,1.69,1.86,1.52,4.88,5.37,4.39,8.25,9.08,7.43,139.29,153.22,125.36,poster,en,2124,exact,scraped
manipulates,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manipulates,en,2124,exact,scraped
java,1.06,1.0,1.11,100,0.45,0.5,0.41,0.33,0.36,0.3,0.15,0.17,0.14,7.03,7.73,6.33,java,en,2124,exact,scraped
javascript,1.06,1.0,1.12,100,0.43,0.47,0.39,11.19,12.31,10.07,4.79,5.27,4.31,151.08,166.18,135.97,javascript,en,2124,exact,scraped
php,1.06,1.0,1.11,100,1.3,1.44,1.17,0.22,0.24,0.2,0.29,0.32,0.26,13.11,14.42,11.8,php,en,2124,exact,scraped
python,1.06,1.0,1.11,100,1.24,1.36,1.11,3.3,3.63,2.97,4.08,4.49,3.67,131.12,144.23,118.01,python,en,2124,exact,scraped
ruby,1.06,1.0,1.11,100,0.74,0.81,0.67,0.2,0.21,0.18,0.14,0.16,0.13,8.74,9.62,7.87,ruby,en,2124,exact,scraped
reserves,1.06,1.0,1.11,100,0.55,0.61,0.5,0.05,0.05,0.04,0.03,0.03,0.02,2.28,2.51,2.05,reserves,en,2124,exact,scraped
plans,1.06,1.0,1.11,100,0.42,0.47,0.38,0.06,0.07,0.06,0.03,0.03,0.02,1.52,1.67,1.37,plans,en,2124,exact,scraped
company,1.06,1.0,1.11,100,0.66,0.73,0.6,0.46,0.5,0.41,0.3,0.33,0.27,16.72,18.4,15.05,company,en,2124,exact,scraped
start,1.06,1.0,1.11,100,0.34,0.37,0.3,8.86,9.74,7.97,2.99,3.29,2.69,104.33,114.76,93.9,start,en,2124,exact,scraped
decade,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,decade,en,2124,exact,scraped
world,1.06,1.0,1.11,100,0.81,0.89,0.73,0.6,0.66,0.54,0.48,0.53,0.44,17.86,19.65,16.08,world,en,2124,exact,scraped
leading,1.06,1.0,1.11,100,0.42,0.46,0.38,0.03,0.03,0.02,0.01,0.01,0.01,0.76,0.84,0.68,leading,en,2124,exact,scraped
decode,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,decode,en,2124,exact,scraped
laptop,1.06,1.0,1.11,100,4.65,5.12,4.19,21.04,23.15,18.94,97.86,107.65,88.08,531.9,585.09,478.71,laptop,en,2124,exact,scraped
lamps,1.06,1.0,1.11,100,0.99,1.09,0.89,7.29,8.02,6.56,7.19,7.91,6.47,227.28,250.01,204.55,lamps,en,2124,exact,scraped
lemps,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lemps,en,2124,exact,scraped
square,1.06,1.0,1.11,100,21.15,23.27,19.04,43.16,47.48,38.84,912.99,1004.29,821.69,1584.49,1742.94,1426.04,square,en,2124,exact,scraped
batch,1.06,1.0,1.11,100,0.66,0.72,0.59,0.03,0.04,0.03,0.02,0.02,0.02,1.52,1.67,1.37,batch,en,2124,exact,scraped
normalization,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normalization,en,2124,exact,scraped
newton,1.06,1.0,1.11,100,0.64,0.71,0.58,0.03,0.03,0.02,0.02,0.02,0.02,1.52,1.67,1.37,newton,en,2124,exact,scraped
method,1.06,1.0,1.11,100,0.59,0.64,0.53,0.73,0.8,0.66,0.43,0.47,0.39,20.33,22.37,18.3,method,en,2124,exact,scraped
notes,1.06,1.0,1.11,100,0.38,0.42,0.34,3.11,3.42,2.8,1.19,1.3,1.07,38.77,42.64,34.89,notes,en,2124,exact,scraped
fix,1.06,1.0,1.11,100,0.32,0.36,0.29,0.17,0.19,0.15,0.06,0.06,0.05,2.28,2.51,2.05,fix,en,2124,exact,scraped
format,1.06,1.0,1.11,100,13.64,15.0,12.27,8.79,9.67,7.91,119.91,131.9,107.92,124.85,137.34,112.37,format,en,2124,exact,scraped
xianmin,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,xianmin,en,2124,exact,scraped
committed,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,committed,en,2124,exact,scraped
liabilities,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,liabilities,en,2124,exact,scraped
peaked,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,peaked,en,2124,exact,scraped
comply,1.06,1.0,1.11,100,0.62,0.68,0.56,0.2,0.22,0.18,0.12,0.14,0.11,6.27,6.9,5.64,comply,en,2124,exact,scraped
instructors,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,instructors,en,2124,exact,scraped
communities,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,communities,en,2124,exact,scraped
connecting,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,connecting,en,2124,exact,scraped
programa,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,programa,en,2124,exact,scraped
algorithms,1.06,1.0,1.11,100,0.45,0.5,0.41,0.26,0.28,0.23,0.12,0.13,0.1,11.02,12.12,9.92,algorithms,en,2124,exact,scraped
consistency,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,consistency,en,2124,exact,scraped
updating,1.06,1.0,1.11,100,0.09,0.09,0.08,0.97,1.07,0.88,0.08,0.09,0.08,17.48,19.23,15.73,updating,en,2124,exact,scraped
current,1.06,1.0,1.11,100,1.95,2.15,1.76,0.45,0.5,0.41,0.88,0.97,0.79,9.31,10.24,8.38,current,en,2124,exact,scraped
recommend,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,recommend,en,2124,exact,scraped
check,1.06,1.0,1.11,100,0.76,0.83,0.68,0.15,0.17,0.14,0.11,0.13,0.1,3.99,4.39,3.59,check,en,2124,exact,scraped
rotating,1.06,1.0,1.11,100,0.4,0.44,0.36,0.17,0.18,0.15,0.07,0.07,0.06,2.47,2.72,2.22,rotating,en,2124,exact,scraped
fully,1.06,1.0,1.11,100,2.04,2.25,1.84,0.13,0.14,0.11,0.26,0.28,0.23,2.28,2.51,2.05,fully,en,2124,exact,scraped
featured,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,featured,en,2124,exact,scraped
familiar,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,familiar,en,2124,exact,scraped
expectation,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expectation,en,2124,exact,scraped
ago,1.06,1.0,1.11,100,0.36,0.4,0.33,1.71,1.88,1.54,0.62,0.68,0.56,51.88,57.07,46.69,ago,en,2124,exact,scraped
pessoa,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pessoa,en,2124,exact,scraped
develops,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,develops,en,2124,exact,scraped
configure,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,configure,en,2124,exact,scraped
tool,1.06,1.0,1.11,100,0.47,0.51,0.42,7.24,7.97,6.52,3.38,3.72,3.05,273.84,301.22,246.45,tool,en,2124,exact,scraped
important,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,important,en,2124,exact,scraped
ideas,1.06,1.0,1.11,100,1.84,2.02,1.65,0.12,0.13,0.1,0.21,0.23,0.19,12.92,14.21,11.63,ideas,en,2124,exact,scraped
cases,1.06,1.0,1.11,100,0.66,0.72,0.59,1.1,1.21,0.99,0.72,0.79,0.65,21.47,23.62,19.33,cases,en,2124,exact,scraped
excited,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,excited,en,2124,exact,scraped
announce,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,announce,en,2124,exact,scraped
multiple,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,multiple,en,2124,exact,scraped
gpus,1.06,1.0,1.11,100,11.25,12.38,10.13,0.1,0.11,0.09,1.17,1.29,1.06,4.18,4.6,3.76,gpus,en,2124,exact,scraped
systems,1.06,1.0,1.11,100,0.27,0.29,0.24,0.1,0.1,0.09,0.03,0.03,0.02,2.28,2.51,2.05,systems,en,2124,exact,scraped
open,1.06,1.0,1.11,100,0.35,0.39,0.32,0.22,0.25,0.2,0.08,0.09,0.07,5.51,6.06,4.96,open,en,2124,exact,scraped
inside,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inside,en,2124,exact,scraped
integrating,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,integrating,en,2124,exact,scraped
uses,1.06,1.0,1.11,100,0.23,0.26,0.21,0.07,0.08,0.07,0.02,0.02,0.02,1.52,1.67,1.37,uses,en,2124,exact,scraped
value,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,value,en,2124,exact,scraped
track,1.06,1.0,1.11,100,0.18,0.19,0.16,0.23,0.26,0.21,0.04,0.05,0.04,1.52,1.67,1.37,track,en,2124,exact,scraped
performances,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,performances,en,2124,exact,scraped
best,1.06,1.0,1.11,100,0.34,0.37,0.3,0.22,0.24,0.2,0.07,0.08,0.07,7.22,7.94,6.5,best,en,2124,exact,scraped
deals,1.06,1.0,1.11,100,0.69,0.76,0.62,1.27,1.4,1.15,0.88,0.97,0.79,41.81,45.99,37.63,deals,en,2124,exact,scraped
widely,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,widely,en,2124,exact,scraped
sample,1.06,1.0,1.11,100,0.26,0.29,0.24,0.55,0.6,0.49,0.14,0.16,0.13,8.55,9.41,7.7,sample,en,2124,exact,scraped
recently,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,recently,en,2124,exact,scraped
published,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,published,en,2124,exact,scraped
benchmark,1.06,1.0,1.12,100,23.1,25.41,20.79,1.09,1.2,0.98,25.2,27.72,22.68,78.29,86.12,70.46,benchmark,en,2124,exact,scraped
comparing,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,comparing,en,2124,exact,scraped
stellar,1.06,1.0,1.11,100,1.81,1.99,1.62,0.56,0.62,0.51,1.02,1.12,0.91,31.74,34.91,28.56,stellar,en,2124,exact,scraped
fingers,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fingers,en,2124,exact,scraped
sequence,1.06,1.0,1.11,100,0.49,0.54,0.44,0.39,0.43,0.35,0.19,0.21,0.17,15.58,17.14,14.02,sequence,en,2124,exact,scraped
inputs,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inputs,en,2124,exact,scraped
following,1.06,1.0,1.11,100,0.12,0.13,0.11,0.1,0.11,0.09,0.01,0.01,0.01,2.28,2.51,2.05,following,en,2124,exact,scraped
repo,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,repo,en,2124,exact,scraped
jan,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,jan,en,2124,exact,scraped
peak,1.06,1.0,1.11,100,0.43,0.47,0.38,0.06,0.07,0.06,0.03,0.03,0.02,1.52,1.67,1.37,peak,en,2124,exact,scraped
optimizes,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,optimizes,en,2124,exact,scraped
setting,1.06,1.0,1.11,100,0.23,0.25,0.21,0.15,0.17,0.14,0.04,0.04,0.03,2.28,2.51,2.05,setting,en,2124,exact,scraped
level,1.06,1.0,1.11,100,3.1,3.41,2.79,3.8,4.18,3.42,11.8,12.98,10.62,57.96,63.76,52.16,level,en,2124,exact,scraped
